constituency,reform_vote_share,is_scotland,leave_vote_share,degree_pct,median_age,median_weekly_wage,claimant_rate,foreign_born_pct,population_density,ethnic_minority_pct,deprivation_score
Warrington North,23.825578781748707,0,57.78511012999999,28.240449268427813,42.0,723.2,3.1,9.1987049,1055.9626296419303,5.460280200000001,24.129104688542487
Warrington South,15.930504106941536,0,52.70555143,35.498340468517,42.0,836.6,2.4,9.9618006,1428.135984768746,7.656110000000005,15.93172999279366
Warwick and Leamington,10.476035611203708,0,41.94017686,44.51359544368914,38.0,912.3,2.7,18.6372316,1231.6242547644736,17.956799700000005,13.14123081823195
Washington and Gateshead South,29.088895491747927,0,63.2502046,22.33998498848254,43.0,673.3,4.0,3.5662414000000004,1381.692575104318,3.041388900000097,30.15396089573516
Watford,11.089866156787762,0,50.46187406,41.17613376087952,37.0,871.2,4.4,33.2244631,4730.05836558192,38.3889735,15.330335527747035
Waveney Valley,15.852217150309748,0,55.63442901,28.236201827783912,52.0,688.6,2.4,5.3587888,92.37700985983768,2.3617927999999955,17.16835273593038
Weald of Kent,20.1293579428932,0,56.01786187,32.60330146789949,47.0,760.1,2.4,7.1545209,131.13429633023188,4.218019799999995,15.790870662855276
Wellingborough and Rushden,21.498238035693987,0,64.84442457,24.004594603549773,40.0,733.3,3.9,17.306711999999997,1275.5175045487574,13.395982100000005,20.728559126007926
Wells and Mendip Hills,13.125397077509527,0,48.43837574,36.011031884837884,50.0,776.6,2.2,6.5862974,138.11475215555777,2.773019200000004,13.351728528528527
Welwyn Hatfield,13.201939944278196,0,52.75240158,37.32291475015963,37.0,863.0,3.1,22.4605859,1082.9401191837778,21.6003798,14.638401366208432
West Aberdeenshire and Kincardine,7.142857142857143,1,39.08426693,38.5328782938557,46.0,858.8,1.5,8.0151873,30.111922671076663,4.106501799999995,8.274615947936322
West Bromwich,19.46492694827445,0,67.83872418,23.96879504015008,37.0,710.9,6.7,24.145294,3241.180649324084,45.6163109,33.625324951147164
West Dunbartonshire,6.997776879547292,1,38.4407824,21.611084768979502,43.0,737.1,3.9,4.603029,505.0779868895436,3.3927771000000995,29.08548553327661
West Ham and Beckton,7.703312424342467,0,52.00163855,41.92580021168656,32.0,848.4,7.8,52.2462196,7018.498746978531,61.6006013,30.53510255234489
West Lancashire,17.89366515837104,0,54.638695010000006,29.670015373064963,42.0,737.9,3.0,6.1849588,396.88046403099867,3.2656266000000045,19.879879840889387
West Suffolk,20.846602110006284,0,63.03821208,26.57055437431935,40.0,732.5,2.4,19.3413162,162.23616389470004,9.188631000000004,17.29512377104492
West Worcestershire,14.449503538318064,0,52.56765387,38.44570438048464,51.0,784.3,2.5,5.607521500000001,145.3408995985128,3.1591912,15.576966968978669
